DOCUMENTO,ORGANIZACION,FECHA,TIPOFACTURA,PRODUCTO,CANTIDAD,PRECIO,IMPORTEMONTRANSACCION,MONEDA
B-0004-00000007,Consumidor Final,25/1/22,Factura,PC,10000,130000,1300000000,Pesos Argentinos
A-0004-00000039,Brillamás SA,19/1/22,Factura,Teclado,200000,1900,380000000,Pesos Argentinos
A-0004-00000039,Brillamás SA,19/1/22,Factura,Mouse,200000,1300,260000000,Pesos Argentinos
A-0004-00000038,Horizonte S.A.,11/1/22,Factura,Impresora Multifuncion ,100000,12000,1200000000,Pesos Argentinos
A-0004-00000037,Galardon S.A.,7/1/22,Factura,Impresora Multifuncion ,80000,12000,960000000,Pesos Argentinos
A-0004-00000036,Galardon S.A.,5/1/22,Factura,PC,40000,100000,4000000000,Pesos Argentinos
A-0004-00000036,Galardon S.A.,5/1/22,Factura,Modem Router,100000,2100,210000000,Pesos Argentinos
B-0004-00000006,Consumidor Final,17/12/21,Factura,PC,10000,90909,909090900,Pesos Argentinos
A-0004-00000035,Donadelli S.R.L,15/12/21,Factura,Mercaderia de Reventa,1000000,3100,3100000000,Pesos Argentinos
A-0004-00000035,Donadelli S.R.L,15/12/21,Factura,Productos Terminados,120000,1500,180000000,Pesos Argentinos
A-0004-00000034,Algorte S.A.,7/12/21,Factura,Modem Router,270000,2100,567000000,Pesos Argentinos
A-0004-00000033,Brillamás SA,1/12/21,Factura,PC,30000,100000,3000000000,Pesos Argentinos
A-0004-00000033,Brillamás SA,1/12/21,Factura,Teclado,120000,1900,228000000,Pesos Argentinos
B-0004-00000005,Consumidor Final,15/11/21,Factura,PC,10000,123967,1239669400,Pesos Argentinos
A-0004-00000032,Algorte S.A.,15/11/21,Factura,Teclado,500000,1800,900000000,Pesos Argentinos
A-0004-00000032,Algorte S.A.,15/11/21,Factura,Parlantes para PC,500000,1500,750000000,Pesos Argentinos
A-0004-00000031,Brillamás SA,8/11/21,Factura,Monitor LED,100000,40000,4000000000,Pesos Argentinos
A-0004-00000030,Horizonte S.A.,5/11/21,Factura,Impresora Multifuncion ,10000,11000,110000000,Pesos Argentinos
A-0004-00000029,Galardon S.A.,1/11/21,Factura,Cable RGB para video,100000,2000,200000000,Pesos Argentinos
A-0004-00000028,Galardon S.A.,20/10/21,Factura,Parlantes para PC,80000,2000,160000000,Pesos Argentinos
B-0004-00000004,Etigand S.A.,18/10/21,Factura,Mercaderia de Reventa,800000,2562,2049586800,Pesos Argentinos
B-0004-00000004,Etigand S.A.,18/10/21,Factura,Productos Terminados,200000,1240,247933900,Pesos Argentinos
A-0004-00000027,Jameson SRL,12/10/21,Factura,Parlantes para PC,150000,2000,300000000,Pesos Argentinos
A-0004-00000026,Brillamás SA,7/10/21,Factura,Monitor LED,40000,40000,1600000000,Pesos Argentinos
A-0004-00000026,Brillamás SA,7/10/21,Factura,Monitores,40000,25000,1000000000,Pesos Argentinos
A-0004-00000025,Jameson SRL,1/10/21,Factura,Modem Router,300000,1950,585000000,Pesos Argentinos
A-0004-00000024,Donadelli S.R.L,1/10/21,Factura,Teclado,300000,1800,540000000,Pesos Argentinos
A-0004-00000024,Donadelli S.R.L,1/10/21,Factura,Mouse,140000,1200,168000000,Pesos Argentinos
A-0004-00000023,Brillamás SA,20/9/21,Factura,Monitor LED,50000,40000,2000000000,Pesos Argentinos
A-0004-00000023,Brillamás SA,20/9/21,Factura,Monitores,50000,25000,1250000000,Pesos Argentinos
A-0004-00000022,Algorte S.A.,15/9/21,Factura,Cable RGB para video,250000,2000,500000000,Pesos Argentinos
A-0004-00000022,Algorte S.A.,15/9/21,Factura,Parlantes para PC,150000,2000,300000000,Pesos Argentinos
A-0004-00000022,Algorte S.A.,15/9/21,Factura,Mouse,150000,1000,150000000,Pesos Argentinos
A-0004-00000021,Galardon S.A.,3/9/21,Factura,Teclado,150000,1500,225000000,Pesos Argentinos
A-0004-00000021,Galardon S.A.,3/9/21,Factura,Mouse,150000,1000,150000000,Pesos Argentinos
A-0004-00000020,Horizonte S.A.,1/9/21,Factura,Televisor Led Samsung 32  Hd Con Soporte Y Control,50000,40000,2000000000,Pesos Argentinos
A-0004-00000018,Donadelli S.R.L,17/8/21,Factura,Televisor Led Samsung 32  Hd Con Soporte Y Control,70000,40000,2800000000,Pesos Argentinos
A-0004-00000019,Jameson SRL,17/8/21,Factura,Monitor LED,50000,28000,1400000000,Pesos Argentinos
A-0004-00000017,Algorte S.A.,2/8/21,Factura,Cable RGB para video,250000,2000,500000000,Pesos Argentinos
A-0004-00000017,Algorte S.A.,2/8/21,Factura,Modem Router,250000,1950,487500000,Pesos Argentinos
A-0004-00000016,Horizonte S.A.,14/7/21,Factura,Impresora Multifuncion ,50000,9000,450000000,Pesos Argentinos
A-0004-00000015,Galardon S.A.,8/7/21,Factura,Televisor Led Samsung 32  Hd Con Soporte Y Control,70000,40000,2800000000,Pesos Argentinos
A-0004-00000014,Donadelli S.R.L,6/7/21,Factura,Teclado,120000,1500,180000000,Pesos Argentinos
A-0004-00000014,Donadelli S.R.L,6/7/21,Factura,Mouse,120000,1000,120000000,Pesos Argentinos
A-0004-00000013,Algorte S.A.,2/7/21,Factura,Cable RGB para video,80000,2000,160000000,Pesos Argentinos
A-0004-00000013,Algorte S.A.,2/7/21,Factura,Modem Router,80000,1950,156000000,Pesos Argentinos
A-0004-00000012,Amazon Group,17/6/21,Factura,Cable RGB para video,250000,2000,500000000,Pesos Argentinos
A-0004-00000012,Amazon Group,17/6/21,Factura,Impresora Multifuncion ,40000,9000,360000000,Pesos Argentinos
A-0004-00000011,Campomas S.A.,11/6/21,Factura,Modem Router,200000,1950,390000000,Pesos Argentinos
A-0004-00000010,Horizonte S.A.,1/6/21,Factura,Televisor Led Samsung 32  Hd Con Soporte Y Control,60000,40000,2400000000,Pesos Argentinos
A-0004-00000009,Campomas S.A.,12/5/21,Factura,Mouse,150000,3000,450000000,Pesos Argentinos
A-0004-00000009,Campomas S.A.,12/5/21,Factura,Parlantes para PC,150000,1000,150000000,Pesos Argentinos
A-0004-00000008,Manganello S.R.L,7/5/21,Factura,Televisor Led Samsung 32  Hd Con Soporte Y Control,60000,40000,2400000000,Pesos Argentinos
A-0004-00000007,Algorte S.A.,1/5/21,Factura,Cable RGB para video,150000,2000,300000000,Pesos Argentinos
A-0004-00000006,Galardon S.A.,12/4/21,Factura,PC,20000,95000,1900000000,Pesos Argentinos
A-0004-00000006,Galardon S.A.,12/4/21,Factura,Impresora Multifuncion ,30000,9000,270000000,Pesos Argentinos
A-0004-00000006,Galardon S.A.,12/4/21,Factura,Insumos oficina,20000,3800,76000000,Pesos Argentinos
